name,.pred,AvgTempDist_Recent_Wtr_Year,AvgPPTDist_Recent_Wtr_Year,Geographic_Dist_scaled
WY_Recent,2.3725138572197724e-4,-4,-660.8483268022889,1.0812993504044707e-14
WY_Recent,2.712592408768469e-4,-3.7111111111111112,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.00031014030440402633,-3.4222222222222225,-660.8483268022889,1.0812993504044707e-14
WY_Recent,3.5459242571395956e-4,-3.1333333333333333,-660.8483268022889,1.0812993504044707e-14
WY_Recent,4.0541324441477854e-4,-2.8444444444444446,-660.8483268022889,1.0812993504044707e-14
WY_Recent,4.635144161550472e-4,-2.555555555555556,-660.8483268022889,1.0812993504044707e-14
WY_Recent,5.299378529985169e-4,-2.2666666666666666,-660.8483268022889,1.0812993504044707e-14
WY_Recent,6.058742594657009e-4,-1.9777777777777779,-660.8483268022889,1.0812993504044707e-14
WY_Recent,6.926842833299659e-4,-1.688888888888889,-660.8483268022889,1.0812993504044707e-14
WY_Recent,7.919226429326826e-4,-1.4000000000000004,-660.8483268022889,1.0812993504044707e-14
WY_Recent,9.05365640642534e-4,-1.1111111111111116,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.0010350425255889033,-0.8222222222222224,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.0011832712283902115,-0.5333333333333337,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.0013526990566708197,-0.2444444444444449,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.0015463490130257695,0.04444444444444429,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.0017676724769240789,0.33333333333333304,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.0020206090788016393,0.6222222222222218,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.0023096546879398266,0.9111111111111105,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.0026399385348759258,1.1999999999999993,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.0030173105926619252,1.488888888888888,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.003448440447068697,1.7777777777777768,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.00394092899050234,2.0666666666666664,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.0045034343731623315,2.355555555555555,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.005145813731093226,2.644444444444444,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.005879282275011828,2.9333333333333327,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.006716591353645734,3.2222222222222214,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.007672227084203014,3.51111111111111,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.00876263104876022,3.799999999999999,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.01000644436068089,4.088888888888889,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.011424776073768968,4.377777777777776,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.013041496393560722,4.666666666666666,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.014883554399004191,4.955555555555554,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.016981318925635255,5.244444444444444,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.019368939816987438,5.533333333333333,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.022084724824963115,5.822222222222221,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.02517152492617546,6.111111111111111,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.028677117606106996,6.399999999999999,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.03265457363269337,6.688888888888888,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.03716258789532841,6.977777777777776,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.04226574895802809,7.266666666666666,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.04803471506474635,7.555555555555554,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.054546256545535764,7.844444444444443,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.06188311617169421,8.133333333333333,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.070133630494589,8.42222222222222,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.07939104738375685,8.71111111111111,-660.8483268022889,1.0812993504044707e-14
WY_Recent,0.08975246904923084,9,-660.8483268022889,1.0812993504044707e-14
