name,.pred,GD_Recent_Wtr_Year_2023,GD_Historic_GrwSsn_2023,GD_Recent_Wtr_Year_2024,GD_Recent_GrwSsn_2024,AvgGD_Recent_Wtr_Year,AvgGD_Recent_GrwSsn,GD_Recent_Wtr_Year_2023_scaled,GD_Historic_GrwSsn_2023_scaled,GD_Recent_Wtr_Year_2024_scaled,GD_Recent_GrwSsn_2024_scaled,AvgGD_Recent_Wtr_Year_scaled,AvgGD_Recent_GrwSsn_scaled,Geographic_Dist,Geographic_Dist_scaled
WY_Recent,0.8958766115339309,0.35,0.22,0.14,0.15,0.25,0.2,-1.6762751093923038,-1.6762751093923023,-1.6762751093923034,-1.6762751093923025,-1.6762751093923036,-1.6762751093923038,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8915352322601587,0.35777777777777775,0.22711111111111112,0.1497777777777778,0.15777777777777777,0.25866666666666666,0.20600000000000002,-1.6017739934193127,-1.601773993419311,-1.601773993419312,-1.6017739934193114,-1.6017739934193125,-1.6017739934193125,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8870356655204513,0.3655555555555555,0.23422222222222222,0.15955555555555556,0.16555555555555554,0.2673333333333333,0.21200000000000002,-1.5272728774463213,-1.5272728774463198,-1.527272877446321,-1.5272728774463202,-1.5272728774463213,-1.5272728774463211,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8823740654875266,0.3733333333333333,0.24133333333333334,0.16933333333333334,0.17333333333333334,0.276,0.218,-1.4527717614733302,-1.4527717614733284,-1.4527717614733295,-1.4527717614733286,-1.4527717614733298,-1.4527717614733302,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8775466550275867,0.38111111111111107,0.24844444444444444,0.1791111111111111,0.1811111111111111,0.2846666666666667,0.224,-1.378270645500339,-1.3782706455003373,-1.3782706455003384,-1.3782706455003375,-1.3782706455003386,-1.3782706455003388,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8725497422057368,0.38888888888888884,0.25555555555555554,0.18888888888888888,0.18888888888888888,0.29333333333333333,0.23,-1.3037695295273477,-1.3037695295273464,-1.303769529527347,-1.3037695295273464,-1.3037695295273475,-1.3037695295273475,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8673797377653969,0.3966666666666666,0.26266666666666666,0.19866666666666666,0.19666666666666666,0.302,0.23600000000000002,-1.2292684135543566,-1.229268413554355,-1.229268413554356,-1.2292684135543552,-1.2292684135543563,-1.2292684135543561,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8620331735596515,0.40444444444444444,0.2697777777777778,0.20844444444444443,0.20444444444444443,0.31066666666666665,0.242,-1.1547672975813648,-1.1547672975813636,-1.1547672975813648,-1.154767297581364,-1.1547672975813652,-1.1547672975813652,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8565067219015071,0.4122222222222222,0.2768888888888889,0.2182222222222222,0.2122222222222222,0.31933333333333336,0.248,-1.0802661816083736,-1.080266181608372,-1.0802661816083734,-1.0802661816083727,-1.0802661816083734,-1.0802661816083738,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8507972157880823,0.42,0.28400000000000003,0.22799999999999998,0.21999999999999997,0.328,0.254,-1.0057650656353825,-1.0057650656353807,-1.0057650656353823,-1.0057650656353816,-1.0057650656353823,-1.0057650656353825,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8449016699408681,0.42777777777777776,0.2911111111111111,0.23777777777777775,0.22777777777777777,0.33666666666666667,0.26,-0.9312639496623912,-0.93126394966239,-0.9312639496623909,-0.9312639496623901,-0.9312639496623911,-0.9312639496623911,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8388173025904427,0.43555555555555553,0.2982222222222222,0.24755555555555553,0.23555555555555555,0.3453333333333333,0.266,-0.8567628336894,-0.8567628336893987,-0.8567628336893996,-0.856762833689399,-0.8567628336894,-0.8567628336893998,119847.96696553388,1.0812993504044707e-14
WY_Recent,0.8325415579194902,0.4433333333333333,0.30533333333333335,0.2573333333333333,0.24333333333333332,0.354,0.272,-0.7822617177164087,-0.7822617177164073,-0.7822617177164084,-0.7822617177164077,-0.7822617177164088,-0.7822617177164084,119847.96696553388,1.0812993504044707e-14
