name,.pred,PPTDist_Recent_Wtr_Year_2023,PPTDist_Recent_Wtr_Year_2023_scaled,Geographic_Dist,Geographic_Dist_scaled,TempDist_Recent_Wtr_Year_2023,TempDist_Recent_Wtr_Year_2023_scaled
WY_Recent,0.5222042101446898,-1903,-1.6762751093923025,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.5193370754765919,-1875.6222222222223,-1.6017739934193114,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.5164686666602025,-1848.2444444444445,-1.5272728774463202,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.5135991722527351,-1820.8666666666668,-1.452771761473329,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.5107287810974762,-1793.4888888888888,-1.3782706455003373,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.5078576822741441,-1766.111111111111,-1.3037695295273461,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.5049860650491154,-1738.7333333333333,-1.229268413554355,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.5021141188255471,-1711.3555555555556,-1.1547672975813639,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4992420330934214,-1683.9777777777779,-1.0802661816083727,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.49636999737954246,-1656.6,-1.005765065635381,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.49349820119751237,-1629.2222222222222,-0.9312639496623898,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4906268339977144,-1601.8444444444444,-0.8567628336893987,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.48775608511733154,-1574.4666666666667,-0.7822617177164075,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.48488614373042904,-1547.088888888889,-0.7077606017434164,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4820171987981278,-1519.7111111111112,-0.6332594857704252,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4791494390188974,-1492.3333333333335,-0.5587583697974341,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.47628305277899596,-1464.9555555555555,-0.4842572538244424,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.47341822810308487,-1437.5777777777778,-0.40975613785145126,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4705551526050451,-1410.2,-0.3352550218784601,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.46769401343902395,-1382.822222222222,-0.2607539059054684,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4648349972507365,-1355.4444444444443,-0.1862527899324772,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4619782901290518,-1328.0666666666666,-0.11175167395948608,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4591240775578877,-1300.6888888888889,-0.03725055798649495,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4562725443684421,-1273.3111111111111,0.03725055798649619,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4534238746917855,-1245.9333333333334,0.11175167395948732,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4505782519118416,-1218.5555555555557,0.18625278993247846,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4477358586187794,-1191.177777777778,0.2607539059054696,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4448968765628437,-1163.8000000000002,0.33525502187846073,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4420614866086465,-1136.4222222222222,0.4097561378514525,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.43922986868994457,-1109.0444444444445,0.4842572538244436,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4364022017649257,-1081.6666666666667,0.5587583697974348,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.43357866377202803,-1054.2888888888888,0.6332594857704266,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.43075943158631286,-1026.911111111111,0.7077606017434177,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.4279446809764152,-999.5333333333334,0.7822617177164085,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
WY_Recent,0.42513458656209224,-972.1555555555556,0.8567628336893999,119847.96696553388,1.0812993504044707e-14,3.1075097919757018,5.905426603330378e-16
