.pred,AvgPPTDist_Recent_GrwSsn,AvgPPTDist_Recent_GrwSsn_scaled,Geographic_Dist,Geographic_Dist_scaled,AvgTempDist_Recent_GrwSsn,AvgTempDist_Recent_GrwSsn_scaled
3.23797280524229,-73,-1.676275109392303,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
3.1910585811933796,-50.57777777777778,-1.6017739934193116,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
3.1441443571444694,-28.15555555555556,-1.5272728774463205,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
3.097230133095559,-5.733333333333334,-1.452771761473329,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
3.050315909046649,16.688888888888883,-1.378270645500338,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
3.0034016849977387,39.1111111111111,-1.3037695295273468,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.956487460948828,61.53333333333333,-1.2292684135543552,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.909573236899918,83.95555555555555,-1.154767297581364,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.8626590128510077,106.37777777777777,-1.0802661816083727,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.8157447888020974,128.79999999999998,-1.0057650656353816,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.7688305647531872,151.2222222222222,-0.9312639496623903,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.7219163407042766,173.64444444444442,-0.8567628336893991,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.6750021166553664,196.06666666666666,-0.782261717716408,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.628087892606456,218.48888888888888,-0.7077606017434167,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.581173668557546,240.9111111111111,-0.6332594857704255,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.5342594445086357,263.3333333333333,-0.5587583697974342,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.4873452204597255,285.75555555555553,-0.484257253824443,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.4404309964108153,308.17777777777775,-0.40975613785145176,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.393516772361905,330.59999999999997,-0.3352550218784605,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.3466025483129944,353.0222222222222,-0.2607539059054693,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.299688324264084,375.4444444444444,-0.18625278993247807,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.252774100215174,397.8666666666666,-0.11175167395948685,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.2058598761662638,420.28888888888883,-0.03725055798649562,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.1589456521173536,442.7111111111111,0.037250557986495805,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.1120314280684434,465.1333333333333,0.11175167395948703,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.0651172040195327,487.55555555555554,0.18625278993247826,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
2.0182029799706225,509.97777777777776,0.2607539059054695,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.9712887559217123,532.4,0.33525502187846073,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.924374531872802,554.8222222222222,0.40975613785145193,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.8774603078238918,577.2444444444444,0.4842572538244432,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.8305460837749816,599.6666666666666,0.5587583697974344,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.7836318597260712,622.0888888888888,0.6332594857704257,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.736717635677161,644.5111111111111,0.7077606017434169,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.6898034116282508,666.9333333333333,0.7822617177164081,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.6428891875793405,689.3555555555555,0.8567628336893993,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.5959749635304301,711.7777777777777,0.9312639496623906,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.54906073948152,734.1999999999999,1.0057650656353818,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.5021465154326097,756.6222222222221,1.080266181608373,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.4552322913836993,779.0444444444444,1.1547672975813643,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.408318067334789,801.4666666666666,1.2292684135543555,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.3614038432858788,823.8888888888888,1.3037695295273468,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.3144896192369686,846.311111111111,1.378270645500338,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.2675753951880584,868.7333333333332,1.452771761473329,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.220661171139148,891.1555555555555,1.5272728774463205,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.1737469470902377,913.5777777777777,1.6017739934193116,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
1.1268327230413273,936,1.6762751093923032,119847.96696553388,1.0812993504044707e-14,-1.3730416882427692,-2.9955553471799676e-15
