.pred,AvgTempDist_Recent_GrwSsn,AvgTempDist_Recent_GrwSsn_scaled,Geographic_Dist,Geographic_Dist_scaled,AvgPPTDist_Recent_GrwSsn,AvgPPTDist_Recent_GrwSsn_scaled
1.6693017140775819,-5,-1.6762751093923032,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.6921062051915474,-4.822222222222222,-1.6017739934193118,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.7149106963055132,-4.644444444444445,-1.5272728774463207,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.7377151874194787,-4.466666666666667,-1.4527717614733293,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.7605196785334445,-4.288888888888889,-1.378270645500338,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.7833241696474103,-4.111111111111111,-1.3037695295273466,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.8061286607613758,-3.9333333333333336,-1.2292684135543557,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.8289331518753413,-3.7555555555555555,-1.1547672975813643,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.851737642989307,-3.5777777777777775,-1.080266181608373,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.8745421341032729,-3.4,-1.0057650656353816,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.8973466252172384,-3.2222222222222223,-0.9312639496623907,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.9201511163312042,-3.0444444444444443,-0.8567628336893993,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.9429556074451697,-2.8666666666666667,-0.7822617177164081,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.9657600985591355,-2.6888888888888887,-0.7077606017434167,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
1.988564589673101,-2.511111111111111,-0.6332594857704255,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.0113690807870666,-2.333333333333333,-0.5587583697974341,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.0341735719010323,-2.1555555555555554,-0.48425725382444296,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.056978063014998,-1.9777777777777779,-0.4097561378514518,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.079782554128964,-1.7999999999999998,-0.33525502187846046,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.102587045242929,-1.6222222222222222,-0.26075390590546926,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.125391536356895,-1.4444444444444442,-0.18625278993247793,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.1481960274708607,-1.2666666666666666,-0.11175167395948675,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.1710005185848265,-1.0888888888888886,-0.037250557986495396,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.193805009698792,-0.9111111111111105,0.03725055798649596,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.2166095008127575,-0.7333333333333334,0.11175167395948694,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.2394139919267233,-0.5555555555555554,0.1862527899324783,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.262218483040689,-0.3777777777777773,0.26075390590546965,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.2850229741546544,-0.20000000000000018,0.3352550218784606,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.30782746526862,-0.022222222222222143,0.409756137851452,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.330631956382586,0.1555555555555559,0.48425725382444335,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.3534364474965517,0.3333333333333339,0.5587583697974347,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.3762409386105174,0.5111111111111111,0.6332594857704257,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.3990454297244828,0.6888888888888891,0.707760601743417,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.4218499208384485,0.8666666666666671,0.7822617177164084,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.4446544119524143,1.0444444444444443,0.8567628336893993,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.46745890306638,1.2222222222222223,0.9312639496623907,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.4902633941803454,1.4000000000000004,1.005765065635382,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.513067885294311,1.5777777777777784,1.0802661816083734,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.535872376408277,1.7555555555555555,1.1547672975813643,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.5586768675222427,1.9333333333333336,1.2292684135543557,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.581481358636208,2.1111111111111116,1.303769529527347,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.6042858497501737,2.2888888888888888,1.378270645500338,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.6270903408641395,2.466666666666667,1.4527717614733293,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.6498948319781053,2.644444444444445,1.5272728774463207,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.6726993230920706,2.822222222222223,1.601773993419312,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
2.6955038142060364,3,1.6762751093923032,119847.96696553388,1.0812993504044707e-14,283.63324054672603,8.070114471432956e-16
