name,.pred,AvgGD_Recent_Wtr_Year
WY_Recent,0.027399913632340473,0.4865210670100478
WY_Recent,0.002431869057918861,0.38672131870006377
WY_Recent,3.942024681373149e-4,0.2995749428577561
WY_Recent,0.003880827715950712,0.36338498019103826
WY_Recent,0.07002065632099165,0.523207030939848
WY_Recent,0.007530641584340831,0.43120252992513264
WY_Recent,0.1312297193087243,0.6342712357423579
WY_Recent,0.015082196124468619,0.4206365893451128
WY_Recent,0.002215496837896389,0.26877437377207275
WY_Recent,0.0025544550404495527,0.38672131870006377
WY_Recent,0.04718087949332839,0.523207030939848
WY_Recent,0.051816814841811346,0.523207030939848
WY_Recent,0.004471687683201097,0.3099831668799612
WY_Recent,0.04076930226104067,0.48399749787374136
WY_Recent,0.01126357981312149,0.4206365893451128
WY_Recent,0.002107247378797395,0.26960835815369133
WY_Recent,0.09664803867835753,0.5609548807937432
WY_Recent,4.6841108497123796e-4,0.2995749428577561
WY_Recent,0.012477366593401769,0.4751103147637392
WY_Recent,0.0019590887222506667,0.26877437377207275
WY_Recent,0.0031884552951675135,0.36338498019103826
WY_Recent,0.0018822827085300216,0.3720053719690723
WY_Recent,0.002428798985230392,0.33441658837410154
WY_Recent,0.023157900891750603,0.4865210670100478
WY_Recent,0.002044648761434868,0.33441658837410154
WY_Recent,0.003605183312502934,0.36338498019103826
WY_Recent,0.001185868229852466,0.4006217439492296
WY_Recent,0.0020560424770966626,0.26960835815369133
WY_Recent,0.026924551916603732,0.4206365893451128
WY_Recent,0.007908209658157464,0.43120252992513264
WY_Recent,0.0019114770946828267,0.26877437377207275
WY_Recent,0.12039099776883684,0.6342712357423579
WY_Recent,0.14593136263167983,0.6342712357423579
WY_Recent,0.007908209658157464,0.43120252992513264
WY_Recent,0.12039099776883684,0.6342712357423579
WY_Recent,0.002098220251257951,0.38672131870006377
WY_Recent,4.444108459177689e-4,0.30140876429738117
WY_Recent,0.008936274868590688,0.43120252992513264
WY_Recent,0.051816814841811346,0.523207030939848
WY_Recent,0.0020473764788995607,0.2532683264998987
WY_Recent,0.002161667234533101,0.26877437377207275
WY_Recent,0.002431869057918861,0.38672131870006377
WY_Recent,0.0031095839096760207,0.38672131870006377
WY_Recent,0.03214857052015595,0.48399749787374136
WY_Recent,0.032759648934517764,0.4751103147637392
WY_Recent,0.004053507292999911,0.3099831668799612
WY_Recent,0.001723449600589019,0.2532683264998987
WY_Recent,0.002177628554965278,0.3711978059913006
WY_Recent,0.0011513531071380332,0.2836246286722047
WY_Recent,5.430365752490104e-4,0.2995749428577561
WY_Recent,0.0028899310371548258,0.36338498019103826
WY_Recent,0.0018180550129933489,0.26960835815369133
WY_Recent,0.12039099776883684,0.6342712357423579
WY_Recent,0.009266314736990222,0.4206365893451128
WY_Recent,0.002312229144191746,0.33441658837410154
WY_Recent,0.0071709697514010205,0.43120252992513264
WY_Recent,0.0034323473465642344,0.36338498019103826
WY_Recent,0.001997623493362593,0.2532683264998987
WY_Recent,0.05319092829266767,0.4865210670100478
WY_Recent,0.021683521900013124,0.4206365893451128
WY_Recent,0.0019017084048801108,0.2532683264998987
WY_Recent,0.002489264079848159,0.33441658837410154
WY_Recent,0.002749984789514737,0.38672131870006377
WY_Recent,0.052797805125195094,0.48399749787374136
WY_Recent,0.013752594763673895,0.4751103147637392
WY_Recent,0.004471687683201097,0.3099831668799612
WY_Recent,0.0071709697514010205,0.43120252992513264
WY_Recent,0.0019114770946828267,0.26877437377207275
WY_Recent,0.10103885627392843,0.5609548807937432
WY_Recent,0.13406576156258465,0.6342712357423579
WY_Recent,0.1257103747431063,0.6342712357423579
WY_Recent,0.0022589067774052233,0.38672131870006377
WY_Recent,0.005316562955947421,0.37002686606009266
WY_Recent,0.0020983660112486886,0.2532683264998987
WY_Recent,0.011884262756098794,0.4751103147637392
WY_Recent,0.0020560424770966626,0.26960835815369133
WY_Recent,0.0023727947921706686,0.38672131870006377
WY_Recent,0.0020983660112486886,0.2532683264998987
WY_Recent,0.014367074733067673,0.4206365893451128
WY_Recent,0.14288573205512545,0.6342712357423579
WY_Recent,0.03621285132277629,0.48399749787374136
WY_Recent,0.001732304200379195,0.26877437377207275
WY_Recent,0.04958727360419863,0.4865210670100478
WY_Recent,0.0037656443046427033,0.3099831668799612
WY_Recent,0.017026871601077985,0.4206365893451128
WY_Recent,0.0019255946259013304,0.3711978059913006
WY_Recent,0.002159724757914174,0.26960835815369133
WY_Recent,0.042741606428265425,0.48399749787374136
WY_Recent,0.002159724757914174,0.26960835815369133
WY_Recent,0.021029148516669056,0.4865210670100478
WY_Recent,4.335943606644278e-4,0.30140876429738117
WY_Recent,0.00872057868019468,0.43120252992513264
WY_Recent,0.06098078500732213,0.523207030939848
WY_Recent,0.0031110595703701806,0.36338498019103826
WY_Recent,0.0018079777336328518,0.33441658837410154
WY_Recent,0.011541442666906213,0.4206365893451128
WY_Recent,4.335943606644278e-4,0.30140876429738117
WY_Recent,0.0019255946259013304,0.3711978059913006
WY_Recent,0.0019255946259013304,0.3711978059913006
WY_Recent,0.0019114770946828267,0.26877437377207275
WY_Recent,0.0018822827085300216,0.3720053719690723
WY_Recent,0.004257488162283865,0.3099831668799612
WY_Recent,0.046084992998333484,0.523207030939848
WY_Recent,0.1312297193087243,0.6342712357423579
WY_Recent,0.002751290272530261,0.36338498019103826
WY_Recent,0.013752594763673895,0.4751103147637392
WY_Recent,3.942024681373149e-4,0.2995749428577561
WY_Recent,0.0019735572017260884,0.3711978059913006
WY_Recent,4.5701072661430886e-4,0.2995749428577561
WY_Recent,0.023722146534504652,0.4865210670100478
WY_Recent,0.0071709697514010205,0.43120252992513264
WY_Recent,0.007717134807797975,0.43120252992513264
WY_Recent,0.003517707738828881,0.36338498019103826
WY_Recent,0.0023151522111673484,0.38672131870006377
WY_Recent,0.0018103902866659824,0.2532683264998987
WY_Recent,0.0672669644501126,0.5609548807937432
WY_Recent,0.01545278870119212,0.4206365893451128
WY_Recent,0.0019590887222506667,0.26877437377207275
WY_Recent,0.0016815550491816752,0.2532683264998987
WY_Recent,0.0019097590089218687,0.26960835815369133
WY_Recent,0.0020227120049321496,0.3711978059913006
WY_Recent,0.05662087870818568,0.48399749787374136
WY_Recent,4.920716350879315e-4,0.2995749428577561
WY_Recent,0.0017918957179790954,0.3720053719690723
WY_Recent,0.017755442127825732,0.4865210670100478
WY_Recent,0.0026192831505513466,0.36338498019103826
WY_Recent,0.001997623493362593,0.2532683264998987
WY_Recent,0.0020473764788995607,0.2532683264998987
