parent.pop,elevation.group,elev_m,Lat,Long,GD_Recent_Wtr_Year_2023,GD_Historic_Wtr_Year_2023,GD_Recent_GrwSsn_2023,GD_Historic_GrwSsn_2023,GD_Recent_Wtr_Year_2024,GD_Historic_Wtr_Year_2024,GD_Recent_GrwSsn_2024,GD_Historic_GrwSsn_2024,AvgGD_Historic_Growth Season,AvgGD_Historic_Water Year,AvgGD_Recent_Growth Season,AvgGD_Recent_Water Year,TempDist_Historic_GrwSsn_2023,TempDist_Historic_GrwSsn_2024,TempDist_Historic_Wtr_Year_2023,TempDist_Historic_Wtr_Year_2024,TempDist_Recent_GrwSsn_2023,TempDist_Recent_GrwSsn_2024,TempDist_Recent_Wtr_Year_2023,TempDist_Recent_Wtr_Year_2024,PPTDist_Historic_GrwSsn_2023,PPTDist_Historic_GrwSsn_2024,PPTDist_Historic_Wtr_Year_2023,PPTDist_Historic_Wtr_Year_2024,PPTDist_Recent_GrwSsn_2023,PPTDist_Recent_GrwSsn_2024,PPTDist_Recent_Wtr_Year_2023,PPTDist_Recent_Wtr_Year_2024,AvgTempDist_Historic_GrwSsn,AvgTempDist_Historic_Wtr_Year,AvgTempDist_Recent_GrwSsn,AvgTempDist_Recent_Wtr_Year,AvgPPTDist_Historic_GrwSsn,AvgPPTDist_Historic_Wtr_Year,AvgPPTDist_Recent_GrwSsn,AvgPPTDist_Recent_Wtr_Year,Geographic_Dist,Elev_Dist
CP3,high,2266.382201,38.70649,-120.08797,0.3501184462032854,0.441581760536703,0.2687198251998231,0.3166044122553432,0.1890982701040972,0.2702011390381195,0.28897026561834016,0.40347365874826235,0.3600390355018028,0.3558914497874113,0.2788450454090816,0.26960835815369133,-2.42985992063492,-5.161526587301587,-1.461930555555555,-3.4935972222222222,-1.2779408730158721,-4.0096075396825395,-0.346222222222222,-2.377888888888889,35.28533333333337,205.26533333333336,-1208.0226700000005,84.29732999999987,-19.533999999999992,150.446,-1253.0556833333337,39.26431666666667,-3.7956932539682535,-2.4777638888888887,-2.643774206349206,-1.3620555555555556,120.27533333333336,-561.8626700000003,65.456,-606.8956833333335,19415.21628208722,246.26640099999986
CP2,high,2244.132886,38.66169,-120.13065,0.35963717984101545,0.4416650565368472,0.27904760533330836,0.3258576980024145,0.17791156770313007,0.24083576243542637,0.24988578103945772,0.3595904055637333,0.34272405178307386,0.3412504094861368,0.26446669318638305,0.26877437377207275,-1.741206547619047,-4.472873214285714,-0.8120277777777778,-2.843694444444445,-0.6956349206349213,-3.4273015873015886,0.36305555555555546,-1.6686111111111117,55.05400000000003,225.03400000000002,-1160.9090133333339,131.41098666666653,15.822666666666692,185.80266666666668,-1198.2756933333337,94.04430666666667,-3.1070398809523807,-1.8278611111111114,-2.061468253968255,-0.6527777777777781,140.04400000000004,-514.7490133333337,100.81266666666669,-552.1156933333335,21059.954625970597,224.01708599999984
WL2,high,2020.115818,38.8263,-120.25242,0.3611658957591866,0.4125069405795862,0.24500345759380013,0.24633632234546934,0.14537075724061083,0.16194995856561892,0.24695752578486943,0.2888491720709349,0.26759274720820214,0.2872284495726026,0.24598049168933478,0.2532683264998987,-0.5396964285714283,-3.2713630952380957,0.5167361111111113,-1.514930555555556,0.11881672077922012,-2.6128499458874472,1.6352916666666664,-0.3963750000000008,51.081666666666706,221.0616666666667,-1227.520676666667,64.7993233333334,107.33533000000006,277.31533,-1201.3210233333336,90.99897666666675,-1.905529761904762,-0.4990972222222223,-1.2470166125541136,0.6194583333333328,136.07166666666672,-581.3606766666668,192.32533000000004,-555.1610233333334,136.2621716836303,1.799999995455437e-5
LV3,high,2353.550747,40.47917,-121.52311,0.3791450842046963,0.4542064930149628,0.4085838366691069,0.5173344297905367,0.3648656597334483,0.4482587022637689,0.4952538776841464,0.6448145162998618,0.5810744730451992,0.45123259763936585,0.45191885717662666,0.3720053719690723,-4.8299916666666665,-7.561658333333334,-3.5100138888888885,-5.541680555555556,-3.15543253968254,-5.887099206349207,-1.993986111111111,-4.025652777777778,70.93033000000003,240.91033000000002,-725.0793700000004,567.24063,35.68833333333333,205.66833333333332,-761.373686666667,530.9463133333334,-6.195825,-4.525847222222222,-4.5212658730158735,-3.0098194444444446,155.92033000000004,-78.91937000000019,120.67833333333333,-115.21368666666683,213902.19737702192,333.43494699999974
WR,mid,1158,39.34346,-120.80659,0.38002650892339324,0.3766592233811265,0.39536457811694586,0.3907557953578529,0.3600272231967921,0.3139176947235735,0.36213458420857503,0.3745592900840341,0.3826575427209435,0.34528845905235,0.3787495811627605,0.37002686606009266,2.44357239057239,-0.2880942760942773,4.965277777777778,2.9336111111111105,3.167021312483813,0.4353546458171458,6.146819444444444,4.1151527777777765,590.8849733333333,760.8649733333333,-882.3863666666671,409.9336333333333,692.2909766666668,862.2709766666668,-872.5587033333338,419.76129666666657,1.0777390572390564,3.949444444444444,1.8011879791504795,5.13098611111111,675.8749733333333,-236.22636666666688,777.2809766666668,-226.39870333333363,74991.7057889629,-862.1158
YO4,high,2157.57391,37.76378,-119.77244,0.3812309571713679,0.3955638228659864,0.21745769704127027,0.2236925390633628,0.18601830017304152,0.16239076143256412,0.2126791394102904,0.25057889863551064,0.23713571884943674,0.27897729214927525,0.21506841822578032,0.2836246286722047,-0.6591129629629631,-3.3907796296296304,0.42669444444444515,-1.604972222222222,0.023444991582492136,-2.708221675084175,1.6302361111111123,-0.40143055555555485,-9.725999999999999,160.254,-1345.888346666667,-53.568346666666685,24.022000000000048,194.00200000000004,-1355.3086833333336,-62.988683333333256,-2.0249462962962967,-0.5891388888888884,-1.3423883417508415,0.6144027777777787,75.264,-699.7283466666669,109.01200000000004,-709.1486833333335,125415.44368255768,137.45811000000003
LV1,high,2593.416641,40.47471,-121.50486,0.38311334752478743,0.4498328469819355,0.4127090489738274,0.5114974631761617,0.3592822644578137,0.4404818389963739,0.4804063439054536,0.6325739030546168,0.5720356831153892,0.44515734298915466,0.4465576964396405,0.3711978059913006,-4.813833333333333,-7.5455000000000005,-3.5136805555555553,-5.545347222222222,-3.206532936507937,-5.9381996031746045,-1.9999305555555553,-4.0315972222222225,77.61766000000006,247.59766000000005,-690.223376666667,602.0966233333334,41.74932666666666,211.72932666666665,-729.3860433333336,562.9339566666667,-6.179666666666667,-4.529513888888889,-4.572366269841271,-3.015763888888889,162.60766000000007,-44.06337666666684,126.73932666666666,-83.22604333333345,212682.4805822545,573.3008409999998
SQ3,high,2373.170732,36.72109,-118.84933,0.3884091625342337,0.4171264551693882,0.27055983788842175,0.28788823209473546,0.2144083660605287,0.2209105660064369,0.20434872603836537,0.3021235973725317,0.2950059147336336,0.31901851058791253,0.23745428196339358,0.30140876429738117,-2.194532076719577,-4.926198743386244,-0.8605138888888888,-2.892180555555556,-0.6480515873015875,-3.379718253968255,0.4783888888888894,-1.5532777777777778,-2.0890033333333236,167.89099666666667,-1357.9723400000005,-65.6523400000001,-58.553999999999974,111.42600000000002,-1445.5946833333337,-153.27468333333331,-3.5603654100529107,-1.8763472222222224,-2.013884920634921,-0.5374444444444442,82.90099666666667,-711.8123400000003,26.43600000000002,-799.4346833333335,264779.79412553,353.054932
YO7,high,2469.978665,37.80903,-119.56605,0.39215469125865277,0.44918435236596227,0.32923451367164236,0.3263417164766892,0.2766784854895503,0.2816456049693204,0.3167480725986663,0.3679802697413664,0.3471609931090278,0.36541497866764133,0.3229912931351543,0.33441658837410154,-3.0259019841269836,-5.757568650793651,-2.067763888888888,-4.099430555555555,-2.1508650793650794,-4.882531746031747,-0.9207916666666662,-2.9524583333333334,-43.28399999999999,126.696,-1267.5780100000004,24.741989999999987,-46.94,123.03999999999999,-1298.5923533333337,-6.272353333333285,-4.391735317460317,-3.0835972222222217,-3.516698412698413,-1.9366249999999998,41.706,-621.4180100000002,38.05,-652.4323533333335,128036.86977041698,449.86286500000006
LVTR1,high,2741.38982,40.47917,-121.5032,0.3943790678219016,0.4555409096595388,0.4284643389030909,0.5394554860074325,0.37906356957822596,0.459920353654833,0.4942529315612648,0.6480402933835703,0.5937478896955014,0.4577306316571859,0.46135863523217785,0.38672131870006377,-4.987913888888889,-7.719580555555557,-3.6590138888888886,-5.690680555555556,-3.2965087301587293,-6.028175396825397,-2.1510694444444445,-4.182736111111112,97.95165666666668,267.93165666666664,-625.9940433333338,666.3259566666666,45.03833000000003,215.01833000000002,-670.8973800000003,621.42262,-6.353747222222223,-4.674847222222223,-4.662342063492063,-3.166902777777778,182.94165666666666,20.165956666666375,130.02833000000004,-24.737380000000144,213037.59230444234,721.2740199999998
