.pred,AvgGD_Recent_Wtr_Year,AvgGD_Recent_Wtr_Year_scaled,Geographic_Dist,Geographic_Dist_scaled
1.3265747787584531e-4,0.25,-1.6762751093923036,117052.02872474543,9.570536355279991e-15
1.6238666803238076e-4,0.25866666666666666,-1.6017739934193125,117052.02872474543,9.570536355279991e-15
1.9877831522877222e-4,0.2673333333333333,-1.5272728774463213,117052.02872474543,9.570536355279991e-15
2.433255087006901e-4,0.276,-1.4527717614733298,117052.02872474543,9.570536355279991e-15
2.978559462902603e-4,0.2846666666666667,-1.3782706455003386,117052.02872474543,9.570536355279991e-15
3.6460692187269527e-4,0.29333333333333333,-1.3037695295273475,117052.02872474543,9.570536355279991e-15
4.463171178323013e-4,0.302,-1.2292684135543563,117052.02872474543,9.570536355279991e-15
0.00054633896868168635,0.31066666666666665,-1.1547672975813652,117052.02872474543,9.570536355279991e-15
6.687762059180571e-4,0.31933333333333336,-1.0802661816083734,117052.02872474543,9.570536355279991e-15
8.186522273551e-4,0.328,-1.0057650656353823,117052.02872474543,9.570536355279991e-15
0.0010021161988463187,0.33666666666666667,-0.9312639496623911,117052.02872474543,9.570536355279991e-15
0.0012266953444134414,0.3453333333333333,-0.8567628336894,117052.02872474543,9.570536355279991e-15
0.0015016037758275767,0.354,-0.7822617177164088,117052.02872474543,9.570536355279991e-15
0.0018381205324112515,0.3626666666666667,-0.7077606017434172,117052.02872474543,9.570536355279991e-15
0.002250052341410585,0.3713333333333333,-0.6332594857704266,117052.02872474543,9.570536355279991e-15
0.002754300085232147,0.38,-0.5587583697974349,117052.02872474543,9.570536355279991e-15
0.003371552216760405,0.38866666666666666,-0.48425725382444373,117052.02872474543,9.570536355279991e-15
0.0041271335724421985,0.3973333333333333,-0.40975613785145254,117052.02872474543,9.570536355279991e-15
0.005052044408538365,0.406,-0.33525502187846096,117052.02872474543,9.570536355279991e-15
0.006184232290485469,0.41466666666666663,-0.26075390590547026,117052.02872474543,9.570536355279991e-15
0.007570149018889571,0.42333333333333334,-0.18625278993247862,117052.02872474543,9.570536355279991e-15
0.009266656470256226,0.432,-0.11175167395948746,117052.02872474543,9.570536355279991e-15
0.011343359545957464,0.44066666666666665,-0.0372505579864963,117052.02872474543,9.570536355279991e-15
0.01388546194648206,0.44933333333333336,0.03725055798649534,117052.02872474543,9.570536355279991e-15
0.016997261938674315,0.45799999999999996,0.11175167395948603,117052.02872474543,9.570536355279991e-15
0.0208064315415234,0.4666666666666667,0.18625278993247765,117052.02872474543,9.570536355279991e-15
0.025469254698434307,0.47533333333333333,0.2607539059054688,117052.02872474543,9.570536355279991e-15
0.031177039349546378,0.484,0.33525502187845996,117052.02872474543,9.570536355279991e-15
0.03816396648084548,0.49266666666666664,0.40975613785145115,117052.02872474543,9.570536355279991e-15
0.04671669818360379,0.5013333333333333,0.4842572538244423,117052.02872474543,9.570536355279991e-15
0.05718613892697203,0.51,0.558758369797434,117052.02872474543,9.570536355279991e-15
0.070001832589331,0.5186666666666666,0.6332594857704246,117052.02872474543,9.570536355279991e-15
0.0856895859348447,0.5273333333333333,0.7077606017434163,117052.02872474543,9.570536355279991e-15
0.10489304159737435,0.536,0.7822617177164078,117052.02872474543,9.570536355279991e-15
0.12840008567569022,0.5446666666666666,0.8567628336893985,117052.02872474543,9.570536355279991e-15
0.15717517340003728,0.5533333333333333,0.9312639496623902,117052.02872474543,9.570536355279991e-15
0.1923988991388107,0.562,1.0057650656353818,117052.02872474543,9.570536355279991e-15
0.23551643423742763,0.5706666666666667,1.0802661816083725,117052.02872474543,9.570536355279991e-15
0.2882968200139955,0.5793333333333333,1.1547672975813632,117052.02872474543,9.570536355279991e-15
0.35290554860554985,0.588,1.2292684135543548,117052.02872474543,9.570536355279991e-15
0.43199340953721976,0.5966666666666667,1.3037695295273464,117052.02872474543,9.570536355279991e-15
0.528805247242454,0.6053333333333333,1.378270645500337,117052.02872474543,9.570536355279991e-15
0.6473130916759064,0.614,1.4527717614733289,117052.02872474543,9.570536355279991e-15
0.7923791241483366,0.6226666666666667,1.5272728774463205,117052.02872474543,9.570536355279991e-15
0.9699551646028496,0.6313333333333333,1.6017739934193111,117052.02872474543,9.570536355279991e-15
1.1873268649662447,0.64,1.6762751093923027,117052.02872474543,9.570536355279991e-15
