name,.pred,TempDist_Recent_GrwSsn_2023,TempDist_Recent_GrwSsn_2023_scaled,Geographic_Dist,Geographic_Dist_scaled,PPTDist_Recent_GrwSsn_2023,PPTDist_Recent_GrwSsn_2023_scaled
GS_Recent,0.29303290539995447,-3,-1.6762751093923027,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.2994909325020818,-2.8444444444444446,-1.6017739934193116,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.3060296758074601,-2.688888888888889,-1.5272728774463205,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.31264746293406714,-2.533333333333333,-1.452771761473329,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.3193425040953035,-2.3777777777777778,-1.3782706455003377,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.32611289251591613,-2.2222222222222223,-1.3037695295273466,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.3329566051841389,-2.0666666666666664,-1.2292684135543552,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.33987150394806287,-1.911111111111111,-1.154767297581364,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.34685533696273557,-1.7555555555555555,-1.080266181608373,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.35390574049287965,-1.6,-1.0057650656353818,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.36102024107441105,-1.4444444444444444,-0.9312639496623906,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.36819625803614325,-1.2888888888888888,-0.8567628336893991,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.3754311063811977,-1.1333333333333333,-0.782261717716408,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.3827220000257114,-0.9777777777777779,-0.7077606017434168,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.3900660553904594,-0.822222222222222,-0.6332594857704253,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.3974602953390063,-0.6666666666666665,-0.5587583697974342,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.40490165345398044,-0.5111111111111111,-0.484257253824443,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.41238697864104784,-0.3555555555555556,-0.4097561378514519,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.41991304004816843,-0.20000000000000018,-0.3352550218784607,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.4274765322857554,-0.04444444444444429,-0.2607539059054693,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.4350740809314588,0.11111111111111116,-0.18625278993247812,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.4427022483014631,0.2666666666666666,-0.11175167395948693,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.45035753946845225,0.4222222222222225,-0.03725055798649554,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
GS_Recent,0.458036408504767,0.577777777777778,0.037250557986495646,119847.96696553388,1.0812993504044707e-14,198.643240546726,2.4400909349867077e-15
